Timestamp,Voltage,Type
26-06-2024 09:42,98,Peak
26-06-2024 09:57,97,Low
26-06-2024 10:33,95,Peak
26-06-2024 10:41,95,Low
26-06-2024 11:08,90,Peak
26-06-2024 11:23,90,Low
26-06-2024 11:39,86,Peak
26-06-2024 12:01,78,Low
26-06-2024 12:13,75,Peak
26-06-2024 12:37,67,Low
26-06-2024 12:41,65,Peak
26-06-2024 13:06,58,Low
26-06-2024 13:07,59,Peak
26-06-2024 13:37,51,Low
26-06-2024 13:37,50,Peak
26-06-2024 14:05,41,Low
26-06-2024 15:23,90,Peak
26-06-2024 15:53,80,Low
26-06-2024 15:53,81,Peak
26-06-2024 16:30,69,Low
26-06-2024 16:30,68,Peak
26-06-2024 17:09,57,Peak
26-06-2024 17:12,57,Low
26-06-2024 17:43,48,Low
26-06-2024 17:43,47,Peak
26-06-2024 18:14,42,Low
26-06-2024 18:14,43,Peak
26-06-2024 19:34,37,Low
26-06-2024 19:34,37,Peak
26-06-2024 20:12,35,Low
26-06-2024 20:12,34,Peak
26-06-2024 20:57,32,Low
26-06-2024 21:27,46,Peak
26-06-2024 21:38,57,Low
26-06-2024 21:59,77,Peak
26-06-2024 22:10,84,Low
26-06-2024 22:31,100,Peak
26-06-2024 23:16,93,Peak
26-06-2024 23:27,93,Low
27-06-2024 00:00,88,Peak
27-06-2024 00:11,88,Low
27-06-2024 01:07,77,Low
27-06-2024 01:07,76,Peak
27-06-2024 02:24,57,Low
27-06-2024 03:16,85,Peak
27-06-2024 04:10,74,Low
27-06-2024 04:20,72,Peak
27-06-2024 04:41,66,Low
27-06-2024 04:49,64,Peak
27-06-2024 05:11,59,Low
27-06-2024 05:27,55,Peak
27-06-2024 05:49,50,Low
27-06-2024 06:03,48,Peak
27-06-2024 06:28,42,Low
27-06-2024 06:33,41,Peak
27-06-2024 06:54,38,Low
27-06-2024 14:12,99,Peak
27-06-2024 14:55,96,Low
27-06-2024 14:55,95,Peak
27-06-2024 15:26,92,Low
27-06-2024 15:26,93,Peak
27-06-2024 15:52,86,Low
27-06-2024 15:52,87,Peak
27-06-2024 17:37,62,Peak
27-06-2024 17:40,61,Low
27-06-2024 18:32,45,Low
27-06-2024 19:43,89,Peak
27-06-2024 20:15,80,Low
27-06-2024 20:15,80,Peak
27-06-2024 21:11,65,Low
27-06-2024 21:11,64,Peak
27-06-2024 21:49,53,Peak
27-06-2024 21:55,51,Low
27-06-2024 22:25,44,Low
27-06-2024 22:25,44,Peak
27-06-2024 23:04,37,Peak
27-06-2024 23:04,37,Low
27-06-2024 23:31,33,Peak
27-06-2024 23:36,33,Low
28-06-2024 01:05,29,Low
28-06-2024 06:54,100,Peak
28-06-2024 09:43,94,Low
28-06-2024 09:43,94,Peak
28-06-2024 11:12,89,Peak
28-06-2024 11:46,86,Low
28-06-2024 11:59,85,Peak
28-06-2024 12:23,82,Low
28-06-2024 12:29,80,Peak
28-06-2024 12:54,75,Low
28-06-2024 13:09,72,Peak
28-06-2024 13:33,67,Low
28-06-2024 13:46,63,Peak
28-06-2024 14:12,56,Low
28-06-2024 14:51,47,Low
28-06-2024 15:40,78,Peak
28-06-2024 16:16,69,Low
28-06-2024 16:28,65,Peak
28-06-2024 16:51,60,Low
28-06-2024 17:13,54,Peak
28-06-2024 17:29,48,Low
28-06-2024 17:47,45,Peak
28-06-2024 17:58,42,Low
28-06-2024 18:20,38,Peak
28-06-2024 18:36,37,Low
28-06-2024 19:21,33,Low
28-06-2024 19:21,32,Peak
28-06-2024 21:11,100,Peak
28-06-2024 22:41,96,Low
28-06-2024 22:41,96,Peak
28-06-2024 23:38,91,Low
28-06-2024 23:38,91,Peak
29-06-2024 00:06,85,Low
29-06-2024 00:06,85,Peak
29-06-2024 00:45,76,Low
29-06-2024 00:45,76,Peak
29-06-2024 01:15,70,Low
29-06-2024 01:15,69,Peak
29-06-2024 01:45,64,Peak
29-06-2024 01:59,61,Low
29-06-2024 02:53,48,Peak
29-06-2024 03:17,42,Low
29-06-2024 03:50,40,Low
29-06-2024 05:23,82,Peak
29-06-2024 06:46,56,Low
29-06-2024 06:47,57,Peak
29-06-2024 08:19,42,Low
29-06-2024 08:21,42,Peak
29-06-2024 09:06,39,Low
29-06-2024 09:06,39,Peak
29-06-2024 09:50,48,Low
29-06-2024 09:51,48,Peak
29-06-2024 10:16,73,Peak
29-06-2024 10:16,74,Low
29-06-2024 10:52,100,Peak
29-06-2024 13:41,91,Low
29-06-2024 13:42,92,Peak
29-06-2024 14:39,88,Low
29-06-2024 14:39,87,Peak
29-06-2024 15:34,84,Low
29-06-2024 15:34,84,Peak
29-06-2024 16:10,77,Low
29-06-2024 16:10,76,Peak
29-06-2024 16:46,71,Low
29-06-2024 16:46,70,Peak
29-06-2024 17:26,63,Peak
29-06-2024 17:32,62,Low
29-06-2024 18:07,50,Peak
29-06-2024 18:13,50,Low
29-06-2024 19:05,38,Low
29-06-2024 20:01,78,Peak
29-06-2024 20:39,67,Low
29-06-2024 20:39,67,Peak
29-06-2024 21:16,58,Peak
29-06-2024 21:33,54,Low
29-06-2024 22:01,47,Low
29-06-2024 22:02,47,Peak
29-06-2024 22:34,40,Low
29-06-2024 22:34,39,Peak
29-06-2024 23:29,32,Low
30-06-2024 00:28,66,Peak
30-06-2024 00:50,77,Low
30-06-2024 03:00,100,Peak
30-06-2024 05:00,96,Low
30-06-2024 05:00,95,Peak
30-06-2024 05:46,92,Low
30-06-2024 05:46,91,Peak
30-06-2024 06:16,88,Low
30-06-2024 06:16,87,Peak
30-06-2024 06:49,82,Peak
30-06-2024 06:53,82,Low
30-06-2024 07:22,76,Low
30-06-2024 07:22,75,Peak
30-06-2024 07:52,67,Peak
30-06-2024 07:57,67,Low
30-06-2024 08:36,56,Low
30-06-2024 08:36,56,Peak
30-06-2024 09:13,44,Low
30-06-2024 10:28,91,Peak
30-06-2024 11:19,73,Peak
30-06-2024 11:32,69,Low
30-06-2024 11:56,62,Peak
30-06-2024 12:02,59,Low
30-06-2024 12:28,48,Peak
30-06-2024 12:43,43,Low
